,id,cuisine,ingredients_string,pred
36018,36082,brazilian,crushed tomatoes garlic medium shrimp water red pepper flakes lemon juice unsweetened coconut milk ground black pepper salt fresh parsley green bell pepper cooking oil long grain rice onion,brazilian
2780,28080,brazilian,banana protein powder honey vanilla ice cubes cinnamon frozen blueberries a ai almond milk,brazilian
17423,32272,brazilian,fine salt sweetened condensed milk granulated sugar vegetable oil unsweetened cocoa powder ground cinnamon whole milk sourdough baguette large eggs vanilla extract,mexican
11694,24257,brazilian,ground black pepper scallion manioc flour large eggs kosher salt extra virgin olive oil unsalted butter,brazilian
27996,5347,brazilian,ground black pepper salt crushed tomatoes jalapeno chilies onion fresh ginger garlic chicken unsweetened coconut milk cooking oil chopped cilantro,brazilian
38788,22779,brazilian,egg passion fruit juice water white sugar syrup condensed milk passion fruit,brazilian
11668,43804,brazilian,egg yolks coconut unsalted butter sugar coconut milk,brazilian
7934,42276,brazilian,pepper jalapeno chilies sweet paprika fresh lime juice halibut fillets stewed tomatoes shrimp fresh cilantro fish stock garlic cloves onion green bell pepper olive oil salt red bell pepper,spanish
25757,43436,brazilian,light brown sugar salted peanuts manioc flour sweetened condensed milk,brazilian
39320,44973,brazilian,egg whites all purpose flour sweetened condensed milk baking powder coconut milk egg yolks orange juice milk flaked coconut white sugar,brazilian
1321,42490,brazilian,muenster cheese cream cheese,italian
35946,40932,brazilian,tomato laurel leaves fresh parsley water bell pepper fish saffron threads olive oil salt white wine potato onion,spanish
17271,48981,brazilian,oat banana vanilla extract pure acai puree unsweetened almond milk cinnamon forest fruit coconut oil granola maple syrup frozen banana shredded coconut sea salt frozen blueberries,brazilian
12106,1557,brazilian,pepper apple frozen peas green olives boneless skinless chicken breasts frozen corn kernels potato salt mayonaise raisin carrot,southern_us
25474,20227,brazilian,water cachaca fresh ginger root lime white sugar cinnamon sticks,brazilian
12058,11972,brazilian,fish fillets Tabasco Pepper Sauce cashew butter cooked shrimp chicken stock jalapeno chilies garlic coconut milk plum tomatoes lime dende oil salt dried shrimp fresh ginger cilantro cilantro leaves onion,brazilian
12056,29510,brazilian,sugar sweetened condensed milk lime cold water,brazilian
32193,3078,brazilian,raspberry superfine sugar lime cachaca,brazilian
7563,46692,brazilian,granulated sugar lime cachaca,brazilian
32123,33355,brazilian,sugar cachaca lime,brazilian
37743,29267,brazilian,sweetened condensed milk roasted peanuts biscuit white sugar,southern_us
2688,44768,brazilian,parsnip black eyed peas shallot salt rapeseed oil lime sweet potatoes vine tomatoes carrot flat leaf parsley fresh coriander ground nutmeg red pepper okra coconut milk kaffir lime leaves fresh ginger spring onions garlic green beans,southern_us
30850,41199,brazilian,kosher salt purple onion scotch bonnet chile dried shrimp black eyed peas crabmeat mayonaise cracked black pepper canola oil,southern_us
15927,23139,brazilian,semisweet chocolate chocolate sprinkles light corn syrup heavy cream unsweetened cocoa powder unsalted butter sweetened condensed milk,brazilian
29289,40978,brazilian,cachaca fresh lime superfine sugar,brazilian
18995,25129,brazilian,egg milk garlic bay leaf water grated parmesan cheese sausage onion chicken broth orange tapioca starch carrot canola oil black beans olive oil salt chopped cilantro,brazilian
26751,25620,brazilian,a ai powder sweetener coconut milk pure vanilla extract salt milk frozen banana,brazilian
10878,22784,brazilian,rib olive oil collard greens garlic cloves,southern_us
26188,28785,brazilian,salt brown sugar coconut milk rice butter,thai
841,47029,brazilian,egg grating cheese milk tapioca flour salt olive oil,brazilian
23881,31718,brazilian,dried thyme garlic cloves fat free less sodium chicken broth turkey kielbasa fresh parsley olive oil chipotles in adobo black beans chopped onion,french
28684,46850,brazilian,ice sugar cubes strawberry cachaca,brazilian
