,id,cuisine,ingredients_string,pred
17423,32272,brazilian,fine salt sweetened condensed milk granulated sugar vegetable oil unsweetened cocoa powder ground cinnamon whole milk sourdough baguette large eggs vanilla extract,mexican
7934,42276,brazilian,pepper jalapeno chilies sweet paprika fresh lime juice halibut fillets stewed tomatoes shrimp fresh cilantro fish stock garlic cloves onion green bell pepper olive oil salt red bell pepper,spanish
1321,42490,brazilian,muenster cheese cream cheese,italian
35946,40932,brazilian,tomato laurel leaves fresh parsley water bell pepper fish saffron threads olive oil salt white wine potato onion,spanish
12106,1557,brazilian,pepper apple frozen peas green olives boneless skinless chicken breasts frozen corn kernels potato salt mayonaise raisin carrot,southern_us
37743,29267,brazilian,sweetened condensed milk roasted peanuts biscuit white sugar,southern_us
2688,44768,brazilian,parsnip black eyed peas shallot salt rapeseed oil lime sweet potatoes vine tomatoes carrot flat leaf parsley fresh coriander ground nutmeg red pepper okra coconut milk kaffir lime leaves fresh ginger spring onions garlic green beans,southern_us
30850,41199,brazilian,kosher salt purple onion scotch bonnet chile dried shrimp black eyed peas crabmeat mayonaise cracked black pepper canola oil,southern_us
10878,22784,brazilian,rib olive oil collard greens garlic cloves,southern_us
26188,28785,brazilian,salt brown sugar coconut milk rice butter,thai
23881,31718,brazilian,dried thyme garlic cloves fat free less sodium chicken broth turkey kielbasa fresh parsley olive oil chipotles in adobo black beans chopped onion,french
8362,3715,brazilian,potato frozen corn kernels mayonaise apple frozen peas pimento carrot pepper salt,southern_us
21332,44822,brazilian,bouillon powder potato garlic cloves spicy sausage kale yellow onion water salt dried oregano white wine olive oil freshly ground pepper,italian
23692,34499,brazilian,olive oil diced tomatoes garlic cloves melted butter ground black pepper salt bay leaf boneless skin on chicken thighs white wine vinegar red bell pepper green bell pepper coarse sea salt salsa,mexican
15101,17677,brazilian,dulce de leche unsweetened cocoa powder butter cooking spray coconut flakes sprinkle,italian
15561,38458,brazilian,tomato roll roast beef deli meat mozzarella cheese chip,italian
26418,10930,brazilian,egg ear of corn cinnamon sweetened condensed milk baking powder coconut milk melted butter salt,mexican
14598,35794,brazilian,egg spring onions all purpose flour oil bread crumbs garlic cream cheese onion celery stick chicken breasts sweet corn carrot chicken stock water salt green chilies coriander,mexican
14696,10020,brazilian,olive oil bread flour salt yellow corn meal boiling water dry yeast,italian
3087,47784,brazilian,lime juice bell pepper coconut milk minced garlic olive oil paprika ground cumin fresh cilantro diced tomatoes onion tilapia fillets ground black pepper salt,mexican
21057,41100,brazilian,vodka salt tomato olive oil cooked shrimp dough pepper all purpose flour warm water vegetable oil onion,italian
31707,29554,brazilian,vegetable broth carrot ground cumin water orange juice sour cream black beans cayenne pepper red bell pepper olive oil garlic cloves onion,mexican
5288,45430,brazilian,tomato butter purple onion okra lemongrass ginger cilantro leaves shrimp chile red pepper salt oil lime garlic barramundi fillets cashew nuts,thai
3955,37471,brazilian,minced onion hot water garlic vegetable oil long grain white rice salt,mexican
19671,33908,brazilian,tomato olive oil ginger red bell pepper pepper vegetable stock oil red chili peppers spring onions salt fish lime cilantro garlic cloves,thai
13403,11785,brazilian,chicken wings flour salt lime vegetable oil chopped parsley pepper lime wedges garlic cloves olive oil red pepper flakes,mexican
36287,34876,brazilian,andouille sausage purple onion bay leaf vegetable oil beef jerky plantain garlic low sodium beef broth black beans rice dried oregano,cajun_creole
22417,7218,brazilian,refried black beans dende oil buttermilk salt ground black pepper crema heavy cream chopped cilantro,mexican
6849,1503,brazilian,garlic cloves vegetable oil onion salt long grain white rice chicken broth hot water,mexican
30360,10442,brazilian,milk chicken breasts garlic cloves tomato sauce flour salt oregano egg parmesan cheese cilantro onion pepper baking powder oil canned corn,mexican
27390,15980,brazilian,onion soup mix chicken thighs beer,mexican
4462,1403,brazilian,egg whites shredded coconut butter granulated sugar egg yolks,french
22652,2729,brazilian,green bell pepper ground black pepper purple onion flat leaf parsley corn raisin garlic cloves water butter salt long grain white rice olive oil bacon red bell pepper,southern_us
24874,42272,brazilian,orange leek red bell pepper black beans lime slices yellow bell pepper lime juice sweet potatoes yellow onion tomato dried thyme red pepper flakes ground cumin,jamaican
